language,idiom_correct,type,genlang_point,map,feature,value1,value1_name,source,page,contributor,date
Agul,Burshag,village,no,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,creisselsdraft2020,,George Moroz,2021.10.04
Akhvakh,Tad-Magitl',village,no,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06
Andi,Zilo,village,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kayeetaldraft2020,,George Moroz,2021.10.04
Andi,Andi,village,no,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrikkodzasov1990,321,George Moroz,2017.05.06
Archi,Archib,village,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrik1994a,300,George Moroz,2021.10.04
Archi,Archib,village,no,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Inventory of v-like consonants,"v, w",Inventory of v-like consonants,dum-tragut2009,"18, 20",George Moroz,2021.10.04
Avar,Standard Avar,language,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,alekseevataev1997,35,George Moroz,2021.10.04
Avar,Chadakolob,village,no,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06
Azerbaijani,Standard Azerbaijani,language,yes,yes,Inventory of v-like consonants,v,Inventory of v-like consonants,shiralievsevortyan1971,16--26,George Moroz,2021.10.04
Bagvalal,Kvanada,village,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,kibrik2001,35--46,George Moroz,2021.10.04
Bezhta,Bezhta,dialect_toplevel,yes,yes,Inventory of v-like consonants,w,Inventory of v-like consonants,comrieetal2015,86,George Moroz,2021.10.04
